timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,42.293040,-71.262310,49.932190,0.000000,102.656250,1537388129.999150,
1537388200.055687,-0.042269,0.466881,-2.108264,-0.288907,0.589940,-0.153798,-0.037734,-0.450104,-0.892177,-0.038956,0.043365,0.053325,0.540557,-19.400040,-48.339508,,,,,,,
,,,,,,,,,,,,,,,,42.293042,-71.262580,49.932899,-1.000000,-1.000000,1537388180.394976,
1537388200.065666,-0.035816,0.464024,-2.110263,-0.295275,0.545082,-0.172998,-0.032022,-0.447550,-0.893684,-0.026526,0.031702,0.033973,0.540557,-19.400040,-48.339508,,,,,,,
1537388200.075615,-0.029900,0.460992,-2.112352,-0.317794,0.485398,-0.178399,-0.026774,-0.444836,-0.895210,-0.022923,0.021481,0.022773,0.928392,-19.075623,-48.653503,,,,,,,
1537388200.085594,-0.024548,0.457638,-2.114371,-0.348931,0.435410,-0.168916,-0.022020,-0.441831,-0.896827,-0.025450,0.008054,0.018729,0.928392,-19.075623,-48.653503,,,,,,,
1537388200.095573,-0.019560,0.453935,-2.116216,-0.383269,0.417475,-0.153075,-0.017578,-0.438506,-0.898555,-0.029572,-0.008730,0.022136,1.296524,-18.873779,-48.639160,,,,,,,
1537388200.105553,-0.014625,0.449926,-2.117827,-0.410096,0.430471,-0.132952,-0.013169,-0.434899,-0.900382,-0.034881,-0.022316,0.028815,1.296524,-18.873779,-48.639160,,,,,,,
1537388200.115532,-0.009379,0.445702,-2.119096,-0.429455,0.481892,-0.101087,-0.008462,-0.431092,-0.902267,-0.040793,-0.031570,0.033279,1.540600,-18.366730,-48.878845,,,,,,,
1537388200.125511,-0.003714,0.441384,-2.119975,-0.433837,0.549247,-0.069155,-0.003358,-0.427191,-0.904154,-0.046981,-0.037744,0.035089,1.540600,-18.366730,-48.878845,,,,,,,
,,,,,,,,,,,,,,,,42.293042,-71.262580,49.932899,-1.000000,-1.000000,1537388200.122217,
1537388200.135490,0.002471,0.437006,-2.120477,-0.439270,0.617675,-0.038298,0.002239,-0.423229,-0.906018,-0.050838,-0.040745,0.029264,1.812918,-18.295181,-48.928650,,,,,,,
