timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537388199.345716,0.092666,0.372623,-2.820381,0.489678,-0.478768,0.392842,0.086184,-0.364060,-0.927380,0.006376,-0.009415,0.104534,-42.811138,21.976868,-38.043884,,,,,,,
,,,,,,,,,,,,,,,,42.293031,-71.262269,55.126896,0.425098,-1.000000,1537388198.999844,
1537388199.355726,0.086106,0.378400,-2.816510,0.564559,-0.541856,0.359286,0.079916,-0.369434,-0.925814,-0.001364,-0.005123,0.111773,-42.876705,21.975243,-37.683716,,,,,,,
1537388199.365766,0.079584,0.384514,-2.813567,0.587106,-0.535703,0.308079,0.073695,-0.375109,-0.924047,-0.003840,-0.001905,0.115850,-42.876705,21.975243,-37.683716,,,,,,,
1537388199.375806,0.073594,0.390511,-2.810734,0.573343,-0.494392,0.251198,0.067992,-0.380661,-0.922211,-0.005537,0.001572,0.117997,-42.984562,21.461823,-37.481323,,,,,,,
1537388199.385816,0.068319,0.396124,-2.808903,0.536105,-0.444569,0.194159,0.062980,-0.385846,-0.920411,-0.003440,0.005704,0.116319,-42.984562,21.461823,-37.481323,,,,,,,
1537388199.395856,0.063780,0.401244,-2.807110,0.487086,-0.384032,0.146636,0.058675,-0.390564,-0.918704,-0.001622,0.013824,0.116305,-43.362064,21.143173,-37.159424,,,,,,,
1537388199.405896,0.059951,0.405829,-2.806134,0.438053,-0.330922,0.107691,0.055049,-0.394781,-0.917125,0.001164,0.020498,0.116420,-43.362064,21.143173,-37.159424,,,,,,,
1537388199.415937,0.056836,0.409883,-2.805061,0.385783,-0.272435,0.075119,0.052100,-0.398502,-0.915686,0.006951,0.025699,0.115424,-43.668591,20.955872,-36.842590,,,,,,,
1537388199.425947,0.054412,0.413287,-2.804760,0.317544,-0.215072,0.037126,0.049806,-0.401622,-0.914450,0.015013,0.029978,0.112784,-43.668591,20.955872,-36.842590,,,,,,,
1537388199.435987,0.052775,0.415716,-2.804315,0.211935,-0.147029,0.008513,0.048258,-0.403845,-0.913553,0.018179,0.030997,0.110041,-43.833447,20.518921,-36.558838,,,,,,,
1537388199.446027,0.051722,0.416886,-2.804612,0.082952,-0.106830,-0.030799,0.047271,-0.404915,-0.913132,0.018083,0.031990,0.098480,-43.833447,20.518921,-36.558838,,,,,,,
1537388199.456067,0.051217,0.416638,-2.804870,-0.055609,-0.068798,-0.073359,0.046815,-0.404689,-0.913255,0.019957,0.034922,0.089479,-43.668018,20.798531,-36.419617,,,,,,,
1537388199.466077,0.051048,0.415092,-2.805844,-0.178169,-0.056298,-0.102909,0.046693,-0.403274,-0.913887,0.016921,0.035384,0.084389,-43.668018,20.798531,-36.419617,,,,,,,
1537388199.476117,0.050729,0.412708,-2.806433,-0.245309,-0.079860,-0.102100,0.046450,-0.401092,-0.914859,0.012006,0.038222,0.074024,-43.900906,20.690002,-36.477356,,,,,,,
1537388199.486158,0.050058,0.410182,-2.807267,-0.243185,-0.106443,-0.082745,0.045886,-0.398776,-0.915900,0.001339,0.045718,0.069906,-43.900906,20.690002,-36.477356,,,,,,,
1537388199.496167,0.048976,0.408046,-2.807363,-0.199512,-0.137169,-0.049262,0.044937,-0.396816,-0.916797,-0.006180,0.050778,0.066806,-44.193928,20.863716,-36.395813,,,,,,,
1537388199.506208,0.047364,0.406372,-2.807479,-0.156921,-0.173188,-0.007213,0.043490,-0.395279,-0.917531,-0.011172,0.054138,0.059911,-44.193928,20.863716,-36.395813,,,,,,,
