timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537207048.645886,0.127935,0.546051,2.796598,-0.374804,0.271479,0.627659,0.109033,-0.519317,-0.847597,-0.040353,0.040511,-0.037779,-30.808399,-37.400417,-40.237366,,,,,,,
1537207048.655865,0.126767,0.543269,2.804563,-0.366301,0.309904,0.642611,0.108225,-0.516937,-0.849154,-0.039652,0.037277,-0.033583,-30.720139,-36.497097,-40.713623,,,,,,,
,,,,,,,,,,,,,,,,42.293473,-71.264350,65.333740,-1.000000,-1.000000,1537207045.782617,
1537207048.665844,0.126177,0.540767,2.812688,-0.335346,0.383455,0.662988,0.107887,-0.514793,-0.850498,-0.043998,0.028969,-0.020275,-30.720139,-36.497097,-40.713623,,,,,,,
1537207048.675824,0.126168,0.538808,2.821062,-0.278913,0.450493,0.695253,0.108005,-0.513113,-0.851498,-0.048893,0.014838,-0.006107,-31.088753,-36.039127,-41.553772,,,,,,,
1537207048.685803,0.126485,0.537475,2.829724,-0.216145,0.489738,0.725449,0.108361,-0.511969,-0.852141,-0.052102,-0.002100,0.007201,-31.088753,-36.039127,-41.553772,,,,,,,
1537207048.695752,0.126810,0.536657,2.838630,-0.170512,0.498104,0.754512,0.108691,-0.511266,-0.852521,-0.051654,-0.019878,0.019986,-31.793022,-35.688984,-41.350830,,,,,,,
1537207048.705731,0.126999,0.536087,2.847787,-0.146169,0.493748,0.774930,0.108890,-0.510776,-0.852790,-0.049106,-0.035459,0.029593,-31.793022,-35.688984,-41.350830,,,,,,,
1537207048.715710,0.126869,0.535540,2.857146,-0.150677,0.467120,0.793079,0.108814,-0.510305,-0.853081,-0.047291,-0.050837,0.038368,-31.950970,-34.826523,-40.887665,,,,,,,
1537207048.725689,0.126390,0.534738,2.866747,-0.183975,0.447049,0.811064,0.108457,-0.509616,-0.853538,-0.048811,-0.058622,0.042595,-31.950970,-34.826523,-40.887665,,,,,,,
1537207048.735669,0.125673,0.533605,2.876554,-0.220427,0.432326,0.825823,0.107917,-0.508640,-0.854188,-0.049842,-0.059506,0.042421,-31.343182,-34.179264,-42.240295,,,,,,,
1537207048.745648,0.124808,0.532217,2.886559,-0.247243,0.429295,0.840623,0.107266,-0.507445,-0.854981,-0.052274,-0.057893,0.035401,-31.343182,-34.179264,-42.240295,,,,,,,
1537207048.755627,0.123810,0.530786,2.896820,-0.250666,0.427229,0.864090,0.106502,-0.506211,-0.855807,-0.056606,-0.060271,0.025775,-31.960323,-33.758949,-42.462158,,,,,,,
1537207048.765606,0.122701,0.529508,2.907350,-0.233811,0.433603,0.888729,0.105632,-0.505108,-0.856566,-0.061976,-0.059482,0.013076,-31.960323,-33.758949,-42.462158,,,,,,,
1537207048.775586,0.121749,0.528599,2.918033,-0.198698,0.456946,0.905977,0.104872,-0.504324,-0.857122,-0.062697,-0.061015,0.004461,-32.402275,-32.951698,-42.264984,,,,,,,
1537207048.785565,0.121025,0.528202,2.928816,-0.147540,0.481260,0.920108,0.104276,-0.503981,-0.857396,-0.060575,-0.073549,-0.005763,-32.402275,-32.951698,-42.264984,,,,,,,
1537207048.795544,0.120228,0.528382,2.939543,-0.093178,0.456414,0.918296,0.103582,-0.504137,-0.857389,-0.070302,-0.057463,-0.027118,-32.338531,-32.273773,-42.303802,,,,,,,
1537207048.805523,0.119225,0.529050,2.950183,-0.043081,0.439068,0.918588,0.102681,-0.504714,-0.857158,-0.082036,-0.029024,-0.048757,-32.338531,-32.273773,-42.303802,,,,,,,
1537207048.815503,0.118266,0.530285,2.960690,0.018879,0.439792,0.910388,0.101786,-0.505779,-0.856636,-0.077006,-0.034840,-0.061607,-31.559977,-31.678566,-44.372681,,,,,,,
1537207048.825482,0.117256,0.531860,2.970862,0.050041,0.410730,0.877498,0.100828,-0.507137,-0.855947,-0.067777,-0.049412,-0.080379,-31.559977,-31.678566,-44.372681,,,,,,,
1537207048.835461,0.115895,0.533421,2.980626,0.045926,0.347681,0.842313,0.099571,-0.508482,-0.855295,-0.072105,-0.042940,-0.103994,-32.239719,-31.401344,-44.125122,,,,,,,
1537207048.845410,0.113866,0.534657,2.990061,0.012884,0.265582,0.814461,0.097763,-0.509546,-0.854870,-0.085465,-0.019537,-0.126239,-32.239719,-31.401344,-44.125122,,,,,,,
1537207048.855389,0.111250,0.535475,2.999367,-0.024467,0.208089,0.798303,0.095480,-0.510250,-0.854709,-0.087286,0.000042,-0.139020,-32.739552,-31.113617,-42.698364,,,,,,,
1537207048.865368,0.108624,0.535960,3.008534,-0.049910,0.216733,0.782146,0.093209,-0.510667,-0.854710,-0.078560,0.011598,-0.139659,-32.739552,-31.113617,-42.698364,,,,,,,
1537207048.875348,0.106501,0.536310,3.017575,-0.049646,0.273293,0.770348,0.091375,-0.510968,-0.854729,-0.068639,0.027737,-0.138191,-32.213696,-30.382442,-44.193329,,,,,,,
1537207048.885327,0.105084,0.536821,3.026481,-0.020581,0.337180,0.761902,0.090137,-0.511407,-0.854597,-0.057712,0.043725,-0.133669,-32.213696,-30.382442,-44.193329,,,,,,,
1537207048.895306,0.104544,0.537774,3.035265,0.029785,0.414854,0.761032,0.089624,-0.512226,-0.854161,-0.044519,0.057544,-0.118663,-32.507263,-30.154156,-44.566986,,,,,,,
1537207048.905285,0.104756,0.539502,3.043902,0.118574,0.478432,0.755048,0.089713,-0.513709,-0.853261,-0.031165,0.069968,-0.092678,-32.507263,-30.154156,-44.566986,,,,,,,
1537207048.915265,0.105490,0.542095,3.052294,0.203111,0.513185,0.738398,0.090198,-0.515932,-0.851867,-0.019977,0.074343,-0.058061,-32.883823,-30.030838,-43.469421,,,,,,,
1537207048.925244,0.106451,0.545421,3.060298,0.274845,0.506339,0.708911,0.090834,-0.518778,-0.850069,-0.008436,0.074793,-0.026457,-32.883823,-30.030838,-43.469421,,,,,,,
1537207048.935223,0.107352,0.549188,3.067769,0.315706,0.468656,0.663273,0.091390,-0.521995,-0.848037,0.006388,0.068138,0.001327,-32.907375,-29.806438,-43.285278,,,,,,,
1537207048.945202,0.108032,0.553035,3.074667,0.335322,0.428925,0.606846,0.091749,-0.525272,-0.845973,0.015886,0.061741,0.020442,-32.907375,-29.806438,-43.285278,,,,,,,
1537207048.955182,0.108686,0.556727,3.080908,0.324033,0.401101,0.550238,0.092092,-0.528410,-0.843979,0.019252,0.053709,0.024841,-32.526184,-29.594376,-44.556519,,,,,,,
1537207048.965161,0.109565,0.560015,3.086534,0.284009,0.394776,0.492381,0.092643,-0.531199,-0.842166,0.022454,0.047511,0.025699,-32.526184,-29.594376,-44.556519,,,,,,,
1537207048.975140,0.110506,0.562645,3.091599,0.218252,0.364046,0.440814,0.093281,-0.533425,-0.840687,0.029735,0.042901,0.021565,-32.648369,-29.609898,-43.748444,,,,,,,
