timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537206808.996341,-1.184776,0.117068,-2.433970,-0.121422,0.230292,-0.017786,-0.920069,-0.116800,-0.373925,0.010477,0.015574,0.022622,-53.281925,17.589600,2.301086,,,,,,,
1537206809.006321,-1.182399,0.116731,-2.435235,-0.129974,0.220725,-0.018890,-0.919214,-0.116466,-0.376126,0.008889,0.012066,0.017575,-53.292557,17.576225,2.875977,,,,,,,
1537206809.016269,-1.180264,0.116357,-2.436493,-0.133278,0.204742,-0.012487,-0.918449,-0.116094,-0.378105,0.000526,0.012792,0.014183,-53.292557,17.576225,2.875977,,,,,,,
1537206809.026249,-1.178314,0.115881,-2.437804,-0.141908,0.191990,-0.006117,-0.917761,-0.115622,-0.379916,-0.006449,0.014914,0.018374,-53.292557,17.576225,2.875977,,,,,,,
,,,,,,,,,,,,,,,,42.293471,-71.264343,65.302170,-1.000000,-1.000000,1537206804.624177,
1537206809.036228,-1.176444,0.115321,-2.439091,-0.139852,0.188792,0.001370,-0.917108,-0.115066,-0.381656,-0.008429,0.016296,0.024967,-53.378036,17.819916,3.139435,,,,,,,
1537206809.046207,-1.174443,0.114729,-2.440311,-0.133442,0.205850,0.005657,-0.916406,-0.114477,-0.383517,-0.010795,0.019018,0.033572,-53.378036,17.819916,3.139435,,,,,,,
1537206809.056186,-1.172388,0.114154,-2.441433,-0.122780,0.206864,0.006782,-0.915676,-0.113906,-0.385424,-0.012379,0.022277,0.038119,-52.634274,17.810648,2.203003,,,,,,,
1537206809.066166,-1.170137,0.113603,-2.442532,-0.120556,0.231403,0.004634,-0.914864,-0.113358,-0.387510,-0.013863,0.024247,0.039777,-52.634274,17.810648,2.203003,,,,,,,
1537206809.076145,-1.167727,0.113071,-2.443568,-0.114152,0.239915,0.006795,-0.913982,-0.112830,-0.389737,-0.016666,0.023871,0.042325,-52.971954,17.944637,3.783600,,,,,,,
1537206809.086124,-1.165360,0.112561,-2.444501,-0.104593,0.234536,0.008990,-0.913110,-0.112323,-0.391922,-0.020468,0.020267,0.043259,-52.971954,17.944637,3.783600,,,,,,,
1537206809.096103,-1.163002,0.112086,-2.445305,-0.089665,0.238733,0.011203,-0.912233,-0.111852,-0.394094,-0.026076,0.021260,0.040747,-54.041454,17.545013,2.636871,,,,,,,
1537206809.106083,-1.160634,0.111607,-2.446015,-0.082199,0.238692,0.012309,-0.911346,-0.111375,-0.396275,-0.029664,0.022722,0.040165,-54.041454,17.545013,2.636871,,,,,,,
1537206809.116062,-1.158372,0.111159,-2.446742,-0.086456,0.228028,0.008027,-0.910493,-0.110930,-0.398356,-0.022628,0.024093,0.039240,-52.994129,17.727093,2.345551,,,,,,,
1537206809.126041,-1.156221,0.110721,-2.447573,-0.094941,0.217377,-0.000549,-0.909678,-0.110494,-0.400333,-0.012685,0.024465,0.034458,-52.994129,17.727093,2.345551,,,,,,,
1537206809.136020,-1.154282,0.110388,-2.448453,-0.092748,0.195984,-0.013324,-0.908934,-0.110164,-0.402111,-0.004152,0.028834,0.029155,-53.361496,17.941671,1.986389,,,,,,,
1537206809.146000,-1.152593,0.110153,-2.449285,-0.082099,0.172430,-0.018578,-0.908277,-0.109931,-0.403656,-0.001574,0.028174,0.032425,-53.361496,17.941671,1.986389,,,,,,,
1537206809.155948,-1.151030,0.109965,-2.450018,-0.071455,0.167038,-0.017447,-0.907664,-0.109744,-0.405084,-0.002630,0.022021,0.032495,-53.062733,17.784719,0.921661,,,,,,,
1537206809.165928,-1.149642,0.109809,-2.450646,-0.062990,0.146710,-0.015246,-0.907117,-0.109588,-0.406350,-0.003574,0.016433,0.025567,-53.062733,17.784719,0.921661,,,,,,,
1537206809.175907,-1.148155,0.109622,-2.451130,-0.048097,0.166941,-0.004511,-0.906530,-0.109402,-0.407707,-0.005046,0.009518,0.020729,-53.574707,18.044699,2.680145,,,,,,,
1537206809.185879,-1.146661,0.109326,-2.451422,-0.036533,0.166922,0.013701,-0.905949,-0.109108,-0.409074,-0.008236,0.002449,0.020616,-53.574707,18.044699,2.680145,,,,,,,
1537206809.195858,-1.145209,0.108933,-2.451558,-0.028127,0.159430,0.025496,-0.905393,-0.108718,-0.410407,-0.006442,-0.002137,0.023795,-52.513351,18.060551,1.232574,,,,,,,
1537206809.205838,-1.143855,0.108563,-2.451683,-0.025981,0.148732,0.021249,-0.904873,-0.108350,-0.411649,0.002468,-0.005343,0.021238,-52.513351,18.060551,1.232574,,,,,,,
1537206809.215817,-1.141754,0.108397,-2.452386,-0.094534,0.240783,-0.037930,-0.904023,-0.108184,-0.413556,0.012314,-0.001664,0.025998,-53.499851,17.610548,1.058136,,,,,,,
1537206809.225796,-1.139437,0.108004,-2.453425,-0.109893,0.213187,-0.000625,-0.903101,-0.107794,-0.415667,0.017984,0.004736,0.032580,-53.499851,17.610548,1.058136,,,,,,,
1537206809.235775,-1.138027,0.107519,-2.454304,-0.090951,0.110586,-0.002552,-0.902561,-0.107312,-0.416963,0.018101,-0.019947,0.018006,-53.393730,18.040752,1.270599,,,,,,,
1537206809.245755,-1.137444,0.107241,-2.455016,-0.072955,0.041078,-0.006656,-0.902345,-0.107036,-0.417501,0.016145,-0.010075,0.014623,-53.393730,18.040752,1.270599,,,,,,,
1537206809.255734,-1.137217,0.106907,-2.455560,-0.061413,0.020765,0.008372,-0.902283,-0.106704,-0.417721,0.005356,-0.007447,0.011349,-53.249527,17.892906,0.772247,,,,,,,
1537206809.265713,-1.136959,0.106501,-2.456075,-0.065741,0.033624,0.017945,-0.902214,-0.106300,-0.417972,0.000450,-0.001152,0.013355,-53.249527,17.892906,0.772247,,,,,,,
