timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,42.293128,-71.262984,59.117011,0.921832,240.321326,1537671384.000657,
1537671404.777783,0.172045,0.095035,-1.194438,-0.466976,-0.351021,-0.063519,0.170425,-0.094892,-0.980791,0.006043,-0.030764,0.044588,20.389729,-2.716202,-38.992188,,,,,,,
1537671404.787824,0.166498,0.090676,-1.194473,-0.409866,-0.615842,-0.082472,0.165048,-0.090552,-0.982120,0.006155,-0.034982,0.061389,20.076622,-2.095772,-39.012329,,,,,,,
1537671404.797864,0.158607,0.087275,-1.194902,-0.295259,-0.838949,-0.102358,0.157341,-0.087164,-0.983690,0.008659,-0.034205,0.075899,20.076622,-2.095772,-39.012329,,,,,,,
1537671404.807874,0.149214,0.085417,-1.195812,-0.125368,-0.973392,-0.124443,0.148119,-0.085313,-0.985283,0.016035,-0.039763,0.078148,19.439480,-2.002182,-38.743591,,,,,,,
1537671404.817914,0.138947,0.085296,-1.197297,0.048731,-1.053472,-0.156343,0.137997,-0.085193,-0.986762,0.011402,-0.038922,0.070914,19.439480,-2.002182,-38.743591,,,,,,,
1537671404.827954,0.128363,0.086535,-1.199293,0.173640,-1.075913,-0.187661,0.127531,-0.086427,-0.988062,0.006975,-0.034194,0.053522,18.631142,-1.829521,-38.626831,,,,,,,
1537671404.837995,0.117829,0.088455,-1.201647,0.227014,-1.065300,-0.214142,0.117097,-0.088340,-0.989184,0.005218,-0.034982,0.036547,18.631142,-1.829521,-38.626831,,,,,,,
,,,,,,,,,,,,,,,,42.293128,-71.262984,59.117011,0.921832,240.321326,1537671392.000657,
1537671404.848035,0.107549,0.090402,-1.204150,0.213140,-1.038696,-0.227146,0.106903,-0.090279,-0.990162,0.007431,-0.034827,0.016133,17.586166,-1.659111,-38.743835,,,,,,,
1537671404.858045,0.097928,0.091996,-1.206593,0.171386,-0.961853,-0.223396,0.097358,-0.091866,-0.991001,0.008080,-0.034385,0.003574,17.586166,-1.659111,-38.743835,,,,,,,
1537671404.868085,0.089160,0.093113,-1.208863,0.118916,-0.874294,-0.210126,0.088656,-0.092979,-0.991713,0.006284,-0.031289,0.004637,16.425781,-2.033409,-39.005249,,,,,,,
1537671404.878125,0.081026,0.093720,-1.210895,0.064359,-0.815546,-0.191408,0.080582,-0.093583,-0.992345,0.008743,-0.030532,0.003865,16.425781,-2.033409,-39.005249,,,,,,,
,,,,,,,,,,,,,,,,42.293055,-71.263157,59.117012,-1.000000,-1.000000,1537671404.871092,
,,,,,,,,,,,,,,,,42.293055,-71.263157,59.117012,-1.000000,-1.000000,1537671404.872522,
1537671404.888166,0.073381,0.093803,-1.212214,0.006591,-0.765291,-0.165193,0.072993,-0.093666,-0.992924,0.015752,-0.030770,0.009816,15.480820,-2.090851,-39.215515,,,,,,,
1537671404.898206,0.066288,0.093270,-1.213679,-0.067153,-0.717218,-0.143327,0.065952,-0.093135,-0.993467,0.027768,-0.035329,0.015989,15.480820,-2.090851,-39.215515,,,,,,,
1537671404.908216,0.060275,0.091982,-1.214327,-0.137748,-0.572227,-0.166719,0.059983,-0.091853,-0.993964,0.044982,-0.039480,0.023566,14.597977,-2.283272,-39.705994,,,,,,,
1537671404.918256,0.055196,0.089871,-1.216161,-0.227302,-0.528741,-0.200494,0.054946,-0.089750,-0.994448,0.060197,-0.040042,0.038454,14.597977,-2.283272,-39.705994,,,,,,,
1537671404.928296,0.049936,0.086812,-1.217306,-0.316773,-0.548176,-0.220124,0.049728,-0.086703,-0.994992,0.043610,-0.058729,-0.009372,13.630424,-2.203514,-39.834412,,,,,,,
1537671404.938336,0.045079,0.083139,-1.219702,-0.365788,-0.487647,-0.269786,0.044908,-0.083044,-0.995534,0.053190,-0.066645,-0.004665,13.630424,-2.203514,-39.834412,,,,,,,
1537671404.948377,0.041260,0.079240,-1.222068,-0.377441,-0.384579,-0.357896,0.041119,-0.079157,-0.996014,0.059040,-0.054891,0.017162,12.944519,-1.525307,-39.761841,,,,,,,
1537671404.958386,0.038641,0.075491,-1.226167,-0.352851,-0.268683,-0.442661,0.038521,-0.075420,-0.996408,0.048469,-0.052525,0.018685,12.944519,-1.525307,-39.761841,,,,,,,
1537671404.968427,0.037130,0.072070,-1.230169,-0.318711,-0.168649,-0.510213,0.037026,-0.072008,-0.996717,0.037880,-0.059477,0.024839,12.161339,-1.596344,-39.455872,,,,,,,
1537671404.978467,0.036389,0.068827,-1.235541,-0.306990,-0.103704,-0.554229,0.036295,-0.068773,-0.996972,0.022223,-0.059569,0.031701,12.161339,-1.596344,-39.455872,,,,,,,
1537671404.988507,0.036076,0.065586,-1.240378,-0.309100,-0.068632,-0.583236,0.035990,-0.065539,-0.997201,0.015783,-0.059965,0.031258,12.171783,-1.103256,-39.083374,,,,,,,
1537671404.998548,0.035942,0.062191,-1.246288,-0.327168,-0.062373,-0.603663,0.035865,-0.062151,-0.997422,0.017572,-0.064802,0.030808,12.171783,-1.103256,-39.083374,,,,,,,
1537671405.008557,0.035575,0.058553,-1.252243,-0.359105,-0.086975,-0.604801,0.035507,-0.058520,-0.997655,0.016861,-0.059919,0.028981,11.864235,-0.375168,-38.764648,,,,,,,
1537671405.018598,0.034803,0.054549,-1.258039,-0.396431,-0.130632,-0.583448,0.034744,-0.054522,-0.997908,0.009445,-0.039472,0.037672,11.864235,-0.375168,-38.764648,,,,,,,
1537671405.028638,0.033431,0.050299,-1.263763,-0.414422,-0.190473,-0.588648,0.033382,-0.050278,-0.998177,0.003925,-0.027329,0.041009,11.999352,0.611237,-38.595459,,,,,,,
