timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537671404.371313,0.035965,0.210447,-2.654516,-0.581488,-0.696861,-0.318479,0.035164,-0.208897,-0.977305,0.084846,0.011631,0.044016,-22.463436,0.760513,-29.861877,,,,,,,
,,,,,,,,,,,,,,,,42.293095,-71.262679,52.013000,0.660000,235.898438,1537671403.995050,
1537671404.381262,0.031602,0.201963,-2.658844,-0.926018,-0.477631,-0.493521,0.030954,-0.200593,-0.979185,0.076254,0.018250,0.019667,-24.136389,1.921972,-28.960663,,,,,,,
1537671404.391241,0.029719,0.189675,-2.664274,-1.317137,-0.246234,-0.588769,0.029182,-0.188540,-0.981632,0.043206,0.015368,-0.020627,-24.136389,1.921972,-28.960663,,,,,,,
1537671404.401221,0.029188,0.173519,-2.669768,-1.697865,-0.141706,-0.577083,0.028745,-0.172649,-0.984564,0.019076,-0.000706,-0.066218,-26.508955,3.639636,-28.290009,,,,,,,
1537671404.411200,0.028739,0.153954,-2.674276,-2.025234,-0.111996,-0.472164,0.028395,-0.153347,-0.987764,0.007967,-0.023289,-0.097624,-26.508955,3.639636,-28.290009,,,,,,,
1537671404.421179,0.028731,0.131374,-2.677128,-2.324255,-0.025703,-0.299900,0.028480,-0.130996,-0.990974,0.027062,-0.033020,-0.103600,-29.612343,5.732058,-27.649963,,,,,,,
1537671404.431158,0.028797,0.106611,-2.677784,-2.523573,0.005720,-0.081131,0.028629,-0.106409,-0.993910,0.018307,-0.040579,-0.074541,-29.612343,5.732058,-27.649963,,,,,,,
1537671404.441133,0.028722,0.080465,-2.676542,-2.651029,-0.001786,0.084702,0.028625,-0.080378,-0.996353,-0.016341,-0.054387,-0.019897,-29.612343,5.732058,-27.649963,,,,,,,
1537671404.451112,0.028146,0.053601,-2.674178,-2.705410,-0.060014,0.179466,0.028102,-0.053576,-0.998168,0.020878,-0.056059,0.000808,-33.724884,8.285598,-27.950317,,,,,,,
1537671404.461091,0.026854,0.027209,-2.671121,-2.620907,-0.133974,0.250454,0.026841,-0.027205,-0.999269,0.070830,-0.056947,0.004641,-33.724884,8.285598,-27.950317,,,,,,,
1537671404.471070,0.025683,0.002843,-2.667264,-2.379546,-0.098720,0.351015,0.025680,-0.002843,-0.999666,0.103531,-0.058757,0.051607,-37.720482,10.986515,-29.528625,,,,,,,
1537671404.481019,0.023061,-0.017981,-2.662360,-2.001508,-0.364171,0.466507,0.023055,0.017980,-0.999573,0.128404,-0.064520,0.096969,-37.720482,10.986515,-29.528625,,,,,,,
1537671404.490998,0.016769,-0.034119,-2.657346,-1.487059,-0.710683,0.459006,0.016759,0.034112,-0.999277,0.110133,-0.095636,0.075709,-40.864349,13.332402,-31.803101,,,,,,,
