timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537671332.671983,0.140994,0.000030,-1.610671,-0.201354,0.342159,0.209784,0.140527,-0.000030,-0.990077,0.013236,0.028198,0.011576,12.862282,12.182442,-36.604370,,,,,,,
,,,,,,,,,,,,,,,,42.293155,-71.262641,57.485887,0.177617,171.863351,1537671220.163094,
1537671332.682024,0.142302,-0.000881,-1.607515,-0.101707,0.042480,0.244632,0.141822,0.000881,-0.989892,0.011834,0.023960,0.040078,13.207077,12.134171,-37.023315,,,,,,,
1537671332.692064,0.140362,-0.000526,-1.605173,0.032275,-0.274549,0.228428,0.139901,0.000526,-0.990165,0.025031,0.017510,0.060447,13.207077,12.134171,-37.023315,,,,,,,
1537671332.702104,0.135654,0.000885,-1.602937,0.136436,-0.526768,0.161578,0.135238,-0.000885,-0.990813,0.031525,0.006790,0.070906,12.816872,11.675987,-37.526123,,,,,,,
1537671332.712114,0.129211,0.002740,-1.602293,0.183962,-0.670321,0.063003,0.128851,-0.002740,-0.991660,0.031427,-0.004218,0.070060,12.816872,11.675987,-37.526123,,,,,,,
1537671332.722154,0.122167,0.004553,-1.601982,0.178991,-0.706053,-0.024520,0.121862,-0.004553,-0.992537,0.026133,-0.014765,0.064116,11.923141,11.221054,-37.949585,,,,,,,
,,,,,,,,,,,,,,,,42.293155,-71.262641,57.485887,0.177617,171.863351,1537671228.163094,
1537671332.732195,0.115350,0.005903,-1.602888,0.132186,-0.662678,-0.086927,0.115093,-0.005902,-0.993337,0.020711,-0.016116,0.050588,11.923141,11.221054,-37.949585,,,,,,,
1537671332.742235,0.109615,0.006543,-1.603564,0.062755,-0.542327,-0.123040,0.109393,-0.006543,-0.993977,0.013700,-0.013598,0.039448,10.923790,11.081093,-37.874512,,,,,,,
1537671332.752275,0.105421,0.006306,-1.604889,-0.027090,-0.389816,-0.133738,0.105224,-0.006306,-0.994429,0.012040,-0.011302,0.027006,10.923790,11.081093,-37.874512,,,,,,,
1537671332.762285,0.102881,0.005205,-1.605391,-0.112816,-0.229601,-0.107037,0.102698,-0.005205,-0.994699,0.011193,-0.007598,0.013650,10.434502,10.684509,-37.846558,,,,,,,
1537671332.772325,0.101886,0.003558,-1.605944,-0.164456,-0.082052,-0.057663,0.101709,-0.003558,-0.994808,0.007269,-0.001066,0.010570,10.434502,10.684509,-37.846558,,,,,,,
