timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537671332.335124,0.198781,0.319921,-3.132426,0.049986,-0.162256,0.094320,0.187455,-0.314492,-0.930567,-0.012009,-0.009483,-0.007162,-19.084946,-12.380997,-32.432953,,,,,,,
,,,,,,,,,,,,,,,,42.293126,-71.262770,45.890747,0.530000,336.796875,1537671331.995881,
1537671332.345103,0.196932,0.319985,-3.131480,-0.032073,-0.147957,0.087454,0.185730,-0.314552,-0.930893,-0.014465,-0.007057,-0.013977,-19.084946,-12.380997,-32.432953,,,,,,,
1537671332.355052,0.195415,0.319055,-3.130446,-0.137585,-0.104695,0.087898,0.184374,-0.313670,-0.931460,-0.017870,-0.008825,-0.010496,-19.200876,-12.326977,-32.192627,,,,,,,
1537671332.365031,0.194444,0.317113,-3.129037,-0.243136,-0.040054,0.097932,0.183587,-0.311825,-0.932234,-0.021051,-0.015202,-0.002519,-19.200876,-12.326977,-32.192627,,,,,,,
1537671332.374990,0.194007,0.314255,-3.127374,-0.332732,0.025582,0.114453,0.183350,-0.309108,-0.933185,-0.026429,-0.024083,-0.005383,-19.233564,-11.847761,-32.061554,,,,,,,
1537671332.384969,0.194409,0.310740,-3.125292,-0.392402,0.124167,0.135374,0.183934,-0.305764,-0.934172,-0.030232,-0.029792,-0.006273,-19.233564,-11.847761,-32.061554,,,,,,,
1537671332.394949,0.195437,0.306972,-3.122975,-0.419109,0.183076,0.156517,0.185117,-0.302174,-0.935106,-0.032514,-0.023891,0.003465,-19.037296,-11.387196,-32.483887,,,,,,,
1537671332.404928,0.196581,0.303342,-3.120444,-0.403180,0.188350,0.167270,0.186399,-0.298711,-0.935963,-0.027067,-0.009135,0.001591,-19.037296,-11.387196,-32.483887,,,,,,,
1537671332.414907,0.197431,0.300150,-3.118004,-0.352122,0.150726,0.172925,0.187381,-0.295664,-0.936734,-0.016193,-0.002020,0.000348,-18.990950,-11.181490,-32.531860,,,,,,,
1537671332.424886,0.197699,0.297661,-3.115567,-0.276594,0.085211,0.177676,0.187777,-0.293285,-0.937403,-0.004061,-0.000218,-0.000876,-18.990950,-11.181490,-32.531860,,,,,,,
1537671332.434866,0.197296,0.295983,-3.113421,-0.191391,0.010013,0.171815,0.187495,-0.291680,-0.937960,0.004155,0.002007,-0.001966,-18.596573,-11.049612,-32.872101,,,,,,,
1537671332.444845,0.196312,0.295204,-3.111419,-0.099750,-0.044928,0.168103,0.186616,-0.290935,-0.938366,0.006103,0.003857,-0.008243,-18.596573,-11.049612,-32.872101,,,,,,,
1537671332.454793,0.195372,0.295338,-3.109737,-0.007916,-0.029404,0.164322,0.185726,-0.291064,-0.938503,-0.001675,0.001101,-0.015263,-18.733541,-10.785917,-32.866333,,,,,,,
1537671332.464773,0.194896,0.296358,-3.108185,0.081858,0.014958,0.161565,0.185222,-0.292039,-0.938300,-0.012950,-0.003829,-0.018060,-18.733541,-10.785917,-32.866333,,,,,,,
1537671332.474752,0.194566,0.297974,-3.106821,0.131969,0.010430,0.163979,0.184821,-0.293584,-0.937896,-0.021812,-0.007869,-0.026551,-18.476295,-10.749710,-32.720612,,,,,,,
1537671332.484731,0.193816,0.299677,-3.105338,0.132810,-0.039733,0.172578,0.184021,-0.295212,-0.937543,-0.023056,-0.009689,-0.030505,-18.476295,-10.749710,-32.720612,,,,,,,
1537671332.494710,0.192490,0.301045,-3.103674,0.088705,-0.089629,0.196938,0.182700,-0.296518,-0.937389,-0.018867,-0.009725,-0.020589,-18.478445,-10.831284,-32.548584,,,,,,,
1537671332.504690,0.190795,0.301763,-3.101479,0.012614,-0.107311,0.228561,0.181070,-0.297204,-0.937488,-0.012415,-0.008002,-0.007169,-18.478445,-10.831284,-32.548584,,,,,,,
1537671332.514669,0.188899,0.301711,-3.098898,-0.073022,-0.114272,0.256919,0.179296,-0.297155,-0.937844,-0.004384,-0.006404,0.001977,-18.463387,-10.761545,-32.533966,,,,,,,
1537671332.524648,0.187124,0.300979,-3.095861,-0.136057,-0.076528,0.277883,0.177671,-0.296455,-0.938375,0.003390,-0.003868,0.006200,-18.463387,-10.761545,-32.533966,,,,,,,
1537671332.534627,0.185495,0.299968,-3.092705,-0.159651,-0.081717,0.289501,0.176197,-0.295489,-0.938957,-0.000065,-0.005185,0.008934,-18.316504,-10.465080,-32.285095,,,,,,,
1537671332.544607,0.182976,0.298806,-3.089157,-0.179393,-0.163750,0.323633,0.173894,-0.294379,-0.939735,-0.009648,-0.020181,-0.008446,-18.316504,-10.465080,-32.285095,,,,,,,
1537671332.554555,0.179916,0.297592,-3.085174,-0.196980,-0.187039,0.372663,0.171082,-0.293219,-0.940613,-0.010437,-0.039377,0.005921,-18.611343,-10.234205,-32.232391,,,,,,,
1537671332.564535,0.176625,0.295978,-3.080542,-0.257134,-0.185558,0.417164,0.168068,-0.291675,-0.941636,0.001045,-0.026974,0.047181,-18.611343,-10.234205,-32.232391,,,,,,,
1537671332.574514,0.173177,0.293621,-3.075403,-0.342940,-0.193547,0.463669,0.164938,-0.289421,-0.942884,-0.016394,-0.011529,0.070890,-18.842251,-9.694572,-32.208038,,,,,,,
1537671332.584493,0.169773,0.290701,-3.069406,-0.403276,-0.157832,0.536959,0.161870,-0.286624,-0.944270,-0.025166,-0.008161,0.053935,-18.842251,-9.694572,-32.208038,,,,,,,
1537671332.594472,0.165572,0.287329,-3.062843,-0.463734,-0.291960,0.574124,0.158060,-0.283391,-0.945889,-0.012796,-0.008814,0.027173,-18.700352,-9.160614,-32.423767,,,,,,,
1537671332.604452,0.160264,0.283097,-3.056729,-0.532463,-0.360122,0.486286,0.153227,-0.279330,-0.947890,-0.007444,-0.020551,0.028121,-18.700352,-9.160614,-32.423767,,,,,,,
1537671332.614431,0.156227,0.278324,-3.051543,-0.566603,-0.229855,0.409110,0.149605,-0.274744,-0.949807,-0.026863,-0.046896,0.080728,-19.125847,-8.642130,-32.628265,,,,,,,
1537671332.624410,0.152894,0.272932,-3.046575,-0.636718,-0.200713,0.385211,0.146662,-0.269556,-0.951751,-0.041285,-0.047704,0.072890,-19.125847,-8.642130,-32.628265,,,,,,,
1537671332.634389,0.149338,0.266719,-3.041530,-0.722253,-0.224793,0.397576,0.143522,-0.263568,-0.953904,-0.026518,-0.036206,0.031922,-19.482342,-7.733740,-32.813110,,,,,,,
1537671332.644369,0.145807,0.260028,-3.035996,-0.762118,-0.210602,0.444309,0.140407,-0.257108,-0.956128,-0.004420,-0.027118,0.031385,-19.482342,-7.733740,-32.813110,,,,,,,
1537671332.654317,0.142185,0.253346,-3.029971,-0.758402,-0.213696,0.503043,0.137183,-0.250644,-0.958310,0.010400,-0.010617,0.037290,-19.703159,-6.978285,-33.013336,,,,,,,
1537671332.664297,0.138265,0.247064,-3.023315,-0.708909,-0.233030,0.567383,0.133640,-0.244558,-0.960381,0.017575,0.014135,0.033120,-19.703159,-6.978285,-33.013336,,,,,,,
1537671332.674276,0.133655,0.241605,-3.016185,-0.621205,-0.318759,0.634133,0.129387,-0.239261,-0.962296,0.029838,0.032001,0.033402,-19.981915,-6.280874,-33.276276,,,,,,,
1537671332.684255,0.127294,0.237204,-3.008564,-0.517668,-0.511370,0.689331,0.123396,-0.234986,-0.964134,0.053011,0.031815,0.028084,-19.981915,-6.280874,-33.276276,,,,,,,
1537671332.694234,0.118565,0.233792,-3.000935,-0.430921,-0.776606,0.691143,0.115069,-0.231668,-0.965965,0.085462,0.019510,0.020927,-20.158245,-5.495613,-33.827087,,,,,,,
1537671332.704214,0.107935,0.230844,-2.994059,-0.368708,-0.937265,0.606256,0.104868,-0.228799,-0.967809,0.108679,0.043008,-0.054256,-20.158245,-5.495613,-33.827087,,,,,,,
1537671332.714193,0.096094,0.227988,-2.988240,-0.354434,-1.098761,0.514697,0.093464,-0.226018,-0.969629,0.073681,0.021276,-0.043524,-20.158245,-5.495613,-33.827087,,,,,,,
1537671332.724172,0.082619,0.224781,-2.983132,-0.378984,-1.281322,0.462440,0.080449,-0.222893,-0.971518,0.060496,0.012657,-0.038614,-20.662985,-4.957499,-33.690948,,,,,,,
1537671332.734151,0.068196,0.221243,-2.978100,-0.397387,-1.349538,0.470948,0.066483,-0.219442,-0.973358,0.044784,0.030020,-0.045838,-20.662985,-4.957499,-33.690948,,,,,,,
1537671332.744131,0.053771,0.217651,-2.972740,-0.390300,-1.325980,0.518999,0.052477,-0.215937,-0.974996,-0.006579,0.028421,-0.019709,-21.064150,-4.186028,-33.711578,,,,,,,
1537671332.754079,0.040490,0.214084,-2.967027,-0.389075,-1.160426,0.550861,0.039555,-0.212452,-0.976371,-0.025593,0.024433,0.007056,-21.064150,-4.186028,-33.711578,,,,,,,
1537671332.764059,0.028364,0.210587,-2.961181,-0.350609,-1.090127,0.563816,0.027734,-0.209034,-0.977515,-0.021355,0.032184,0.018424,-21.923855,-3.564541,-33.385864,,,,,,,
