timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,42.293053,-71.262183,48.286621,1.110000,95.625000,1537388292.998927,
1537388376.635285,0.025350,0.456869,3.122738,-0.360487,-0.330604,-0.146012,0.022748,-0.441141,-0.897149,-0.028531,0.049692,0.020486,-1.502653,-34.690914,-47.356628,,,,,,,
,,,,,,,,,,,,,,,,42.293044,-71.262766,56.948860,-1.000000,-1.000000,1537388347.028566,
1537388376.645264,0.023138,0.453837,3.120982,-0.275864,-0.290539,-0.172272,0.020794,-0.438417,-0.898530,-0.027020,0.046205,0.018113,-1.718393,-34.614185,-47.169312,,,,,,,
1537388376.655244,0.021379,0.451732,3.118925,-0.183802,-0.260113,-0.196349,0.019233,-0.436524,-0.899486,-0.025275,0.041367,0.019146,-1.718393,-34.614185,-47.169312,,,,,,,
1537388376.665223,0.020104,0.450440,3.116599,-0.106661,-0.219987,-0.217319,0.018098,-0.435362,-0.900073,-0.022645,0.036726,0.020221,-1.506180,-34.400913,-47.351746,,,,,,,
1537388376.675202,0.019408,0.449672,3.114053,-0.063672,-0.166869,-0.235284,0.017477,-0.434670,-0.900420,-0.022299,0.031990,0.020186,-1.506180,-34.400913,-47.351746,,,,,,,
1537388376.685151,0.019324,0.449138,3.111305,-0.045233,-0.116830,-0.254445,0.017406,-0.434189,-0.900653,-0.023082,0.025940,0.019336,-1.596218,-34.422215,-47.244232,,,,,,,
1537388376.695130,0.019753,0.448628,3.108374,-0.048197,-0.077341,-0.268378,0.017797,-0.433730,-0.900866,-0.022711,0.020873,0.015338,-1.596218,-34.422215,-47.244232,,,,,,,
1537388376.705109,0.020449,0.447963,3.105339,-0.066164,-0.059114,-0.279174,0.018430,-0.433130,-0.901142,-0.019971,0.016855,0.005406,-1.618668,-34.706940,-47.291718,,,,,,,
,,,,,,,,,,,,,,,,42.293044,-71.262766,56.948860,-1.000000,-1.000000,1537388376.680519,
1537388376.715089,0.021177,0.447028,3.102217,-0.094934,-0.064313,-0.284664,0.019094,-0.432288,-0.901533,-0.014685,0.012762,-0.003466,-1.618668,-34.706940,-47.291718,,,,,,,
,,,,,,,,,,,,,,,,42.293044,-71.262766,56.948860,-1.000000,-1.000000,1537388376.683372,
1537388376.725068,0.021788,0.445797,3.099026,-0.123719,-0.080195,-0.292277,0.019657,-0.431178,-0.902052,-0.011494,0.006251,-0.008928,-1.766303,-34.530903,-47.347382,,,,,,,
1537388376.735047,0.022249,0.444293,3.095795,-0.148251,-0.096093,-0.297733,0.020087,-0.429820,-0.902691,-0.008750,0.000758,-0.011433,-1.766303,-34.530903,-47.347382,,,,,,,
,,,,,,,,,,,,,,,,42.293044,-71.262766,56.948860,-1.000000,-1.000000,1537388376.728986,
1537388376.745026,0.022593,0.442691,3.092517,-0.153581,-0.105681,-0.300955,0.020413,-0.428373,-0.903371,-0.003506,-0.002459,-0.012645,-1.510039,-34.371201,-47.289185,,,,,,,
,,,,,,,,,,,,,,,,42.293044,-71.262766,56.948860,-1.000000,-1.000000,1537388376.738762,
1537388376.754975,0.022919,0.441203,3.089161,-0.136446,-0.114333,-0.310459,0.020723,-0.427028,-0.904000,0.003432,-0.004735,-0.008674,-1.510039,-34.371201,-47.289185,,,,,,,
1537388376.764954,0.023340,0.439977,3.085799,-0.107640,-0.098461,-0.306047,0.021115,-0.425919,-0.904514,0.008670,-0.005813,-0.003872,-1.481892,-34.419510,-47.415436,,,,,,,
1537388376.774933,0.023841,0.439061,3.082562,-0.075718,-0.082583,-0.292011,0.021578,-0.425090,-0.904893,0.012633,-0.009938,-0.001372,-1.481892,-34.419510,-47.415436,,,,,,,
1537388376.784913,0.024389,0.438422,3.079445,-0.051252,-0.074140,-0.280146,0.022080,-0.424511,-0.905153,0.015441,-0.017307,-0.000044,-1.318588,-34.606987,-47.511597,,,,,,,
1537388376.794892,0.025049,0.437981,3.076500,-0.032148,-0.052849,-0.262983,0.022682,-0.424112,-0.905325,0.019051,-0.017706,-0.000635,-1.318588,-34.606987,-47.511597,,,,,,,
1537388376.804871,0.025701,0.437756,3.073798,-0.008912,-0.048652,-0.238305,0.023275,-0.423908,-0.905406,0.018488,-0.018749,-0.001424,-1.190720,-34.400276,-47.479065,,,,,,,
1537388376.814850,0.026212,0.437837,3.071390,0.021769,-0.053025,-0.211446,0.023737,-0.423982,-0.905359,0.015173,-0.018386,-0.003043,-1.190720,-34.400276,-47.479065,,,,,,,
1537388376.824830,0.026409,0.438236,3.069273,0.052397,-0.077683,-0.184567,0.023910,-0.424343,-0.905185,0.013916,-0.013447,-0.004376,-1.195556,-34.399063,-47.338715,,,,,,,
