timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537388376.647704,0.102681,0.373113,-2.680144,-0.091005,-0.025077,-0.389095,0.095448,-0.364516,-0.926292,-0.021291,0.040556,0.024727,-11.302116,26.851799,-13.539734,,,,,,,
1537388376.657713,0.103247,0.371805,-2.684153,-0.091927,-0.106191,-0.383433,0.096022,-0.363298,-0.926711,-0.015868,0.030061,0.023879,-11.302116,26.851799,-13.539734,,,,,,,
1537388376.667754,0.103043,0.370604,-2.688021,-0.075859,-0.174393,-0.364909,0.095878,-0.362179,-0.927164,-0.009818,0.017299,0.024805,-10.888573,26.721931,-13.422058,,,,,,,
1537388376.677794,0.102295,0.369799,-2.691680,-0.032135,-0.214780,-0.341006,0.095214,-0.361428,-0.927526,-0.005630,0.006859,0.025548,-10.888573,26.721931,-13.422058,,,,,,,
,,,,,,,,,,,,,,,,42.293371,-71.263568,62.313869,0.941011,284.818233,1537388375.998579,
1537388376.687804,0.101204,0.369629,-2.695135,0.032880,-0.238056,-0.315990,0.094208,-0.361269,-0.927690,-0.002914,0.005038,0.028184,-10.786827,26.550903,-13.260620,,,,,,,
1537388376.697844,0.100016,0.370093,-2.698382,0.090361,-0.232493,-0.287922,0.093089,-0.361702,-0.927634,-0.005061,0.007454,0.030173,-10.786827,26.550903,-13.260620,,,,,,,
1537388376.707884,0.098892,0.370876,-2.701350,0.107293,-0.213101,-0.257985,0.092018,-0.362432,-0.927456,-0.010093,0.006155,0.034359,-10.787392,26.299934,-13.019165,,,,,,,
1537388376.717925,0.097913,0.371533,-2.704033,0.081578,-0.187386,-0.235778,0.091087,-0.363044,-0.927309,-0.011863,0.003593,0.034944,-10.787392,26.299934,-13.019165,,,,,,,
1537388376.727934,0.097116,0.371621,-2.706417,0.013204,-0.158524,-0.214876,0.090345,-0.363126,-0.927349,-0.007871,-0.001177,0.031261,-10.518715,26.327072,-12.962158,,,,,,,
1537388376.737975,0.096556,0.370993,-2.708560,-0.061560,-0.122235,-0.200451,0.089847,-0.362541,-0.927626,-0.007038,-0.004494,0.027388,-10.518715,26.327072,-12.962158,,,,,,,
1537388376.748015,0.096256,0.369776,-2.710560,-0.112822,-0.097693,-0.195474,0.089611,-0.361407,-0.928092,-0.005398,-0.008558,0.020865,-10.634857,26.366936,-13.063721,,,,,,,
1537388376.758055,0.096056,0.368415,-2.712500,-0.116052,-0.087003,-0.192327,0.089473,-0.360138,-0.928598,0.003285,-0.014878,0.015116,-10.634857,26.366936,-13.063721,,,,,,,
1537388376.768065,0.095927,0.367304,-2.714394,-0.083036,-0.078382,-0.184707,0.089392,-0.359100,-0.929008,0.006220,-0.014786,0.015174,-10.637268,26.385277,-13.248169,,,,,,,
1537388376.778105,0.095853,0.366683,-2.716227,-0.032967,-0.072917,-0.172709,0.089344,-0.358521,-0.929236,0.007275,-0.014068,0.016211,-10.637268,26.385277,-13.248169,,,,,,,
1537388376.788146,0.095702,0.366507,-2.717985,0.007539,-0.080290,-0.162848,0.089209,-0.358357,-0.929312,0.010934,-0.017635,0.013236,-10.660774,26.401703,-13.500610,,,,,,,
1537388376.798186,0.095496,0.366597,-2.719728,0.027797,-0.084518,-0.159519,0.089015,-0.358441,-0.929299,0.014440,-0.023472,0.008065,-10.660774,26.401703,-13.500610,,,,,,,
1537388376.808196,0.095198,0.366740,-2.721487,0.028898,-0.095216,-0.162677,0.088733,-0.358574,-0.929274,0.016217,-0.027000,0.002135,-10.617508,26.372551,-13.666687,,,,,,,
1537388376.818236,0.094892,0.366831,-2.723322,0.021466,-0.097407,-0.171257,0.088446,-0.358659,-0.929269,0.013818,-0.028472,-0.001243,-10.617508,26.372551,-13.666687,,,,,,,
1537388376.828276,0.094476,0.366854,-2.725208,0.017248,-0.113454,-0.174421,0.088058,-0.358680,-0.929297,0.012879,-0.030434,-0.002191,-10.691170,26.239586,-13.504517,,,,,,,
1537388376.838316,0.093913,0.366829,-2.727044,0.011917,-0.124102,-0.167994,0.087536,-0.358657,-0.929356,0.008686,-0.028993,-0.000957,-10.691170,26.239586,-13.504517,,,,,,,
1537388376.848326,0.093251,0.366762,-2.728751,0.004427,-0.129389,-0.156256,0.086923,-0.358595,-0.929437,0.000158,-0.027254,0.004434,-10.989006,26.066612,-13.414795,,,,,,,
1537388376.858367,0.092588,0.366552,-2.730387,-0.011594,-0.122979,-0.152091,0.086314,-0.358399,-0.929570,-0.003962,-0.027145,0.004200,-10.989006,26.066612,-13.414795,,,,,,,
1537388376.868407,0.091969,0.366190,-2.731991,-0.025464,-0.117664,-0.152185,0.085750,-0.358060,-0.929752,-0.006542,-0.030581,0.003055,-10.920013,26.198738,-13.391602,,,,,,,
1537388376.878447,0.091421,0.365808,-2.733658,-0.022249,-0.113431,-0.159666,0.085254,-0.357704,-0.929935,-0.006839,-0.034234,0.000843,-10.920013,26.198738,-13.391602,,,,,,,
1537388376.888457,0.090927,0.365621,-2.735448,0.002306,-0.115577,-0.170217,0.084800,-0.357529,-0.930044,-0.004737,-0.032348,0.000661,-10.830139,26.309074,-13.588623,,,,,,,
1537388376.898497,0.090431,0.365738,-2.737339,0.034321,-0.119837,-0.175375,0.084335,-0.357639,-0.930044,-0.003631,-0.027737,0.003194,-10.830139,26.309074,-13.588623,,,,,,,
1537388376.908537,0.089848,0.366178,-2.739253,0.066310,-0.130435,-0.170891,0.083778,-0.358049,-0.929936,-0.006218,-0.019835,0.003285,-10.791817,26.356621,-13.527649,,,,,,,
1537388376.918578,0.089014,0.366880,-2.741068,0.088718,-0.157034,-0.158911,0.082980,-0.358705,-0.929755,-0.007419,-0.014388,0.005683,-10.791817,26.356621,-13.527649,,,,,,,
1537388376.928587,0.087757,0.367764,-2.742740,0.105820,-0.196453,-0.142632,0.081784,-0.359530,-0.929542,-0.005856,-0.012998,0.009590,-10.467934,26.185707,-13.494263,,,,,,,
1537388376.938628,0.085972,0.368835,-2.744240,0.122912,-0.241174,-0.124195,0.080091,-0.360529,-0.929303,-0.002455,-0.012671,0.010830,-10.467934,26.185707,-13.494263,,,,,,,
1537388376.948668,0.083852,0.370100,-2.745493,0.137796,-0.259168,-0.098395,0.078083,-0.361709,-0.929015,-0.001179,-0.012422,0.009521,-10.144142,26.004784,-13.524109,,,,,,,
1537388376.958724,0.081817,0.371535,-2.746435,0.152556,-0.224814,-0.067460,0.076150,-0.363046,-0.928654,-0.003884,-0.011282,0.009708,-10.144142,26.004784,-13.524109,,,,,,,
1537388376.968735,0.080230,0.373059,-2.747049,0.154453,-0.164825,-0.036695,0.074631,-0.364465,-0.928221,-0.008958,-0.007117,0.016524,-10.219231,25.759842,-13.466614,,,,,,,
1537388376.978775,0.079167,0.374409,-2.747341,0.126505,-0.099574,-0.008245,0.073606,-0.365723,-0.927808,-0.008298,-0.002304,0.017545,-10.219231,25.759842,-13.466614,,,,,,,
1537388376.988816,0.078658,0.375468,-2.747224,0.095321,-0.028945,0.029786,0.073103,-0.366708,-0.927459,-0.005796,0.000192,0.018249,-10.240425,25.709511,-13.339600,,,,,,,
