timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537473170.070821,0.074328,0.336078,2.780851,-0.335157,0.022437,-0.060576,0.070105,-0.329787,-0.941449,-0.010428,0.012633,0.054944,-22.023348,-21.039837,-46.640442,,,,,,,
1537473170.080801,0.074455,0.332270,2.780798,-0.397289,-0.012433,-0.043802,0.070318,-0.326189,-0.942685,-0.015813,-0.003904,0.016065,-21.803013,-20.817539,-46.824463,,,,,,,
1537473170.090780,0.073800,0.327910,2.780936,-0.451168,-0.084672,-0.007730,0.069804,-0.322065,-0.944141,-0.004878,-0.017047,-0.006940,-21.803013,-20.817539,-46.824463,,,,,,,
,,,,,,,,,,,,,,,,42.293782,-71.263865,54.822899,-1.000000,-1.000000,1537473164.586660,
1537473170.100759,0.072091,0.323132,2.781800,-0.496724,-0.177204,0.045486,0.068301,-0.317538,-0.945783,0.001859,-0.031690,-0.022494,-21.938498,-20.469929,-46.927948,,,,,,,
1537473170.110738,0.069535,0.318238,2.783105,-0.508076,-0.229332,0.104186,0.065990,-0.312893,-0.947493,0.003865,-0.042713,-0.031877,-21.938498,-20.469929,-46.927948,,,,,,,
1537473170.120687,0.066828,0.313477,2.785022,-0.490255,-0.211188,0.143761,0.063524,-0.308368,-0.949144,0.001799,-0.040875,-0.007537,-22.202713,-20.081501,-47.063385,,,,,,,
1537473170.140646,0.062459,0.305840,2.788854,-0.326869,-0.167210,0.141409,0.059522,-0.301094,-0.951735,-0.000364,-0.017204,0.015898,-22.117004,-19.743698,-47.147980,,,,,,,
1537473170.150625,0.060389,0.303382,2.790237,-0.236922,-0.163487,0.106675,0.057596,-0.298749,-0.952592,0.002508,0.001707,0.015840,-22.117004,-19.743698,-47.147980,,,,,,,
1537473170.160604,0.058809,0.301577,2.791267,-0.177682,-0.116923,0.059985,0.056122,-0.297027,-0.953218,0.002182,0.016723,0.016649,-22.125469,-19.524643,-47.245148,,,,,,,
1537473170.170583,0.057959,0.300057,2.791642,-0.155781,-0.061616,0.016281,0.055339,-0.295575,-0.953715,-0.003993,0.018506,0.018764,-22.125469,-19.524643,-47.245148,,,,,,,
1537473170.180563,0.057691,0.298486,2.791787,-0.167086,-0.019993,-0.017981,0.055110,-0.294074,-0.954193,-0.015071,0.014105,0.011825,-22.111040,-19.437485,-47.497559,,,,,,,
1537473170.130666,0.064599,0.309225,2.786936,-0.424078,-0.158124,0.156879,0.061493,-0.304320,-0.950583,-0.004058,-0.030381,0.012778,-22.202713,-20.081501,-47.063385,,,,,,,
1537473170.190542,0.057666,0.296674,2.791478,-0.192413,-0.016721,-0.046946,0.055117,-0.292341,-0.954724,-0.015261,0.012587,-0.004458,-22.111040,-19.437485,-47.497559,,,,,,,
1537473170.200521,0.057519,0.294638,2.791070,-0.210388,-0.036964,-0.070508,0.055010,-0.290393,-0.955325,-0.010958,0.009280,-0.016736,-22.140497,-19.124466,-47.369568,,,,,,,
1537473170.210470,0.057199,0.292433,2.790342,-0.228458,-0.060390,-0.085526,0.054741,-0.288283,-0.955979,-0.010552,0.004423,-0.010116,-22.140497,-19.124466,-47.369568,,,,,,,
1537473170.220449,0.056743,0.290004,2.789708,-0.247644,-0.072045,-0.090956,0.054345,-0.285956,-0.956700,-0.007149,-0.001321,-0.007091,-22.074076,-18.991581,-47.488647,,,,,,,
1537473170.230428,0.056185,0.287380,2.789028,-0.263787,-0.074064,-0.076100,0.053852,-0.283441,-0.957476,-0.004963,-0.009543,-0.003370,-22.074076,-18.991581,-47.488647,,,,,,,
1537473170.240408,0.055788,0.284742,2.788702,-0.259608,-0.045219,-0.057959,0.053514,-0.280910,-0.958241,-0.004732,-0.015767,0.005391,-22.068951,-18.674168,-47.702332,,,,,,,
1537473170.250387,0.055726,0.282331,2.788390,-0.231916,-0.002618,-0.040770,0.053492,-0.278595,-0.958918,-0.006876,-0.018341,0.021204,-22.068951,-18.674168,-47.702332,,,,,,,
1537473170.260366,0.056052,0.280315,2.788276,-0.190230,0.036674,-0.037378,0.053836,-0.276659,-0.959459,-0.001437,-0.014006,0.031191,-22.145420,-18.517754,-47.841003,,,,,,,
1537473170.270345,0.056675,0.278840,2.788009,-0.131520,0.060932,-0.032812,0.054457,-0.275241,-0.959832,0.003358,-0.009122,0.030785,-22.145420,-18.517754,-47.841003,,,,,,,
1537473170.280325,0.057473,0.277917,2.787872,-0.078139,0.074532,-0.032533,0.055237,-0.274353,-0.960041,0.002182,-0.006714,0.027043,-21.814386,-18.505795,-47.790924,,,,,,,
1537473170.290273,0.058265,0.277355,2.787597,-0.051516,0.070130,-0.029178,0.056007,-0.273812,-0.960151,-0.000968,-0.005836,0.020423,-21.814386,-18.505795,-47.790924,,,,,,,
1537473170.300253,0.059000,0.276780,2.787457,-0.062167,0.065908,-0.032435,0.056721,-0.273260,-0.960267,-0.001500,-0.003306,0.012253,-21.596207,-18.267120,-47.823212,,,,,,,
1537473170.310232,0.059901,0.275900,2.787143,-0.098329,0.087439,-0.037993,0.057601,-0.272413,-0.960455,-0.004378,-0.000063,0.011007,-21.596207,-18.267120,-47.823212,,,,,,,
1537473170.320211,0.060993,0.274658,2.786837,-0.132262,0.098251,-0.057404,0.058670,-0.271218,-0.960728,-0.008026,0.001885,0.011357,-21.524881,-18.247807,-47.825836,,,,,,,
1537473170.330190,0.062135,0.273133,2.786199,-0.159832,0.098356,-0.074638,0.059794,-0.269749,-0.961072,-0.007135,0.005391,0.016523,-21.524881,-18.247807,-47.825836,,,,,,,
1537473170.340170,0.063384,0.271425,2.785463,-0.172338,0.105830,-0.104603,0.061022,-0.268105,-0.961455,-0.012179,0.012856,0.025771,-21.619152,-18.123203,-48.031677,,,,,,,
1537473170.350149,0.065099,0.269677,2.784170,-0.170789,0.144168,-0.146261,0.062701,-0.266420,-0.961815,-0.011798,0.012789,0.047432,-21.619152,-18.123203,-48.031677,,,,,,,
1537473170.360128,0.067152,0.267788,2.782664,-0.186380,0.168724,-0.183733,0.064710,-0.264599,-0.962185,-0.008679,0.011517,0.064465,-21.534811,-18.135971,-48.201752,,,,,,,
1537473170.370107,0.069696,0.265454,2.780611,-0.233906,0.214798,-0.223534,0.067200,-0.262348,-0.962631,-0.003541,0.013980,0.062835,-21.534811,-18.135971,-48.201752,,,,,,,
1537473170.380056,0.072674,0.262526,2.778333,-0.292095,0.238491,-0.269777,0.070122,-0.259521,-0.963188,-0.003838,0.009643,0.066734,-21.535992,-18.013992,-48.429016,,,,,,,
1537473170.390035,0.076218,0.259002,2.775614,-0.344996,0.311314,-0.294697,0.073605,-0.256116,-0.963840,-0.014828,0.003857,0.066852,-21.535992,-18.013992,-48.429016,,,,,,,
1537473170.400014,0.080909,0.255179,2.772819,-0.362565,0.421313,-0.323726,0.078203,-0.252418,-0.964453,-0.005846,0.017479,0.073782,-21.145487,-17.865746,-48.806244,,,,,,,
1537473170.409994,0.086349,0.251433,2.769595,-0.341916,0.474533,-0.350349,0.083530,-0.248792,-0.964948,-0.005145,0.031217,0.062986,-21.145487,-17.865746,-48.806244,,,,,,,
1537473170.419973,0.091740,0.248072,2.766201,-0.294824,0.428310,-0.379933,0.088807,-0.245536,-0.965311,-0.008347,0.038031,0.046625,-20.922602,-17.715221,-49.210815,,,,,,,
1537473170.429952,0.095987,0.245142,2.762496,-0.247024,0.312725,-0.391295,0.092975,-0.242694,-0.965637,-0.036059,0.046817,0.018845,-20.922602,-17.715221,-49.210815,,,,,,,
1537473170.439931,0.099672,0.242759,2.758518,-0.183792,0.258906,-0.437861,0.096590,-0.240382,-0.965861,-0.038469,0.053202,0.017191,-20.598473,-17.656857,-49.503784,,,,,,,
1537473170.449911,0.102957,0.240847,2.753695,-0.135338,0.195512,-0.503715,0.099809,-0.238525,-0.965994,0.006637,0.036850,0.038687,-20.598473,-17.656857,-49.503784,,,,,,,
1537473170.459859,0.105184,0.239040,2.748211,-0.129808,0.051206,-0.567586,0.102005,-0.236770,-0.966196,0.026230,0.014511,0.030024,-20.598473,-17.656857,-49.503784,,,,,,,
1537473170.469839,0.105193,0.236707,2.742390,-0.194121,-0.213342,-0.614636,0.102071,-0.234503,-0.966742,0.026438,-0.003961,0.010931,-20.587564,-17.735828,-49.773407,,,,,,,
1537473170.479818,0.101632,0.233115,2.736028,-0.332363,-0.599222,-0.663039,0.098713,-0.231010,-0.967931,0.012905,-0.024774,-0.013179,-20.587564,-17.735828,-49.773407,,,,,,,
