timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537473170.026026,0.054440,0.262815,2.474027,0.009523,0.358546,-0.076235,0.052545,-0.259800,-0.964232,0.031943,0.007175,-0.005693,-59.470123,-37.623371,-49.205963,,,,,,,
1537473170.036067,0.056521,0.263402,2.473437,0.070659,0.136697,-0.042968,0.054543,-0.260366,-0.963968,0.025825,0.008718,-0.001913,-59.064507,-37.672421,-49.807037,,,,,,,
,,,,,,,,,,,,,,,,42.293741,-71.263877,51.798019,-1.000000,-1.000000,1537473164.101809,
1537473170.046107,0.056483,0.264113,2.473051,0.065691,-0.062904,-0.031512,0.054495,-0.261053,-0.963785,0.023355,0.004476,0.014414,-59.064507,-37.672421,-49.807037,,,,,,,
1537473170.056147,0.054631,0.264300,2.472875,-0.004449,-0.223001,-0.008799,0.052708,-0.261234,-0.963835,0.021267,-0.009716,0.018828,-59.040604,-37.799107,-49.940704,,,,,,,
1537473170.066157,0.051601,0.263498,2.473170,-0.109983,-0.310441,0.034815,0.049798,-0.260459,-0.964200,-0.001763,-0.029412,0.010159,-59.040604,-37.799107,-49.940704,,,,,,,
1537473170.076197,0.048417,0.261717,2.473863,-0.200767,-0.284769,0.062024,0.046750,-0.258740,-0.964815,-0.019086,-0.046497,0.008440,-59.624443,-37.221836,-49.983917,,,,,,,
1537473170.086237,0.046178,0.259478,2.474534,-0.226546,-0.168502,0.047532,0.044616,-0.256576,-0.965494,-0.031722,-0.051819,0.007272,-59.624443,-37.221836,-49.983917,,,,,,,
1537473170.096278,0.045745,0.257650,2.474827,-0.163859,0.006463,0.009758,0.044219,-0.254809,-0.965980,-0.035659,-0.046842,0.026817,-59.551033,-37.305279,-50.310516,,,,,,,
1537473170.106318,0.046892,0.256661,2.474635,-0.073339,0.133400,-0.031954,0.045339,-0.253852,-0.966180,-0.027578,-0.029824,0.034661,-59.551033,-37.305279,-50.310516,,,,,,,
1537473170.116328,0.048599,0.256444,2.474083,-0.003973,0.152546,-0.060523,0.046991,-0.253643,-0.966156,-0.017038,-0.015706,0.025528,-58.955276,-37.149334,-50.843292,,,,,,,
1537473170.126368,0.049922,0.256615,2.473305,0.023921,0.093771,-0.076174,0.048267,-0.253808,-0.966050,-0.001881,-0.008293,0.015381,-58.955276,-37.149334,-50.843292,,,,,,,
1537473170.136408,0.050682,0.256797,2.472512,0.016540,0.043610,-0.072807,0.049000,-0.253983,-0.965967,0.001797,-0.006942,0.016107,-58.451645,-37.510281,-51.349579,,,,,,,
1537473170.146449,0.050905,0.256735,2.471888,-0.013270,-0.007581,-0.055659,0.049215,-0.253924,-0.965971,0.002543,-0.003446,0.016585,-58.451645,-37.510281,-51.349579,,,,,,,
1537473170.156489,0.050509,0.256407,2.471510,-0.040966,-0.057675,-0.032093,0.048837,-0.253607,-0.966074,0.005255,-0.002359,0.012903,-58.359566,-37.692707,-51.682709,,,,,,,
1537473170.166499,0.049804,0.255898,2.471400,-0.058070,-0.075712,-0.007529,0.048162,-0.253114,-0.966237,0.007410,0.000306,0.018254,-58.359566,-37.692707,-51.682709,,,,,,,
1537473170.176539,0.048905,0.255306,2.471555,-0.064529,-0.085194,0.017057,0.047301,-0.252542,-0.966429,0.008516,0.000314,0.020720,-58.260307,-37.653629,-51.916473,,,,,,,
1537473170.186579,0.048104,0.254740,2.471822,-0.060333,-0.062727,0.024471,0.046534,-0.251994,-0.966609,0.004110,-0.003255,0.027782,-58.260307,-37.653629,-51.916473,,,,,,,
1537473170.196620,0.047904,0.254047,2.472183,-0.079692,0.007757,0.033707,0.046349,-0.251323,-0.966793,-0.005562,-0.003896,0.029720,-58.429390,-37.705074,-52.103546,,,,,,,
1537473170.206660,0.048240,0.253030,2.472653,-0.111803,0.052611,0.042979,0.046686,-0.250339,-0.967032,-0.012460,-0.006085,0.016211,-58.429390,-37.705074,-52.103546,,,,,,,
1537473170.216670,0.048964,0.251845,2.473111,-0.120409,0.097420,0.036343,0.047400,-0.249191,-0.967294,-0.017478,-0.012986,0.010491,-58.557236,-37.549381,-52.293610,,,,,,,
1537473170.226710,0.050081,0.250882,2.473427,-0.088418,0.120867,0.021455,0.048492,-0.248258,-0.967479,-0.013550,-0.012987,0.022426,-58.557236,-37.549381,-52.293610,,,,,,,
1537473170.236753,0.051148,0.250369,2.473512,-0.040327,0.101593,0.000409,0.049531,-0.247762,-0.967554,-0.010560,-0.011485,0.019617,-58.644699,-37.452808,-52.622284,,,,,,,
1537473170.246793,0.051930,0.250312,2.473383,0.004593,0.064182,-0.017376,0.050289,-0.247707,-0.967529,-0.009609,-0.011632,0.021591,-58.644699,-37.452808,-52.622284,,,,,,,
1537473170.256834,0.052338,0.250595,2.473057,0.036724,0.021420,-0.035206,0.050680,-0.247981,-0.967438,-0.006887,-0.013234,0.024583,-58.529518,-37.467609,-52.695221,,,,,,,
1537473170.266843,0.052347,0.251081,2.472553,0.052860,-0.023490,-0.050974,0.050683,-0.248451,-0.967318,-0.001778,-0.017937,0.025881,-58.529518,-37.467609,-52.695221,,,,,,,
1537473170.276884,0.051954,0.251680,2.471917,0.063649,-0.063060,-0.061448,0.050295,-0.249032,-0.967188,-0.000978,-0.017692,0.024516,-58.316589,-37.759235,-53.086639,,,,,,,
1537473170.286924,0.051373,0.252255,2.471224,0.057282,-0.074824,-0.063572,0.049725,-0.249588,-0.967075,-0.001156,-0.015167,0.022800,-58.316589,-37.759235,-53.086639,,,,,,,
1537473170.296964,0.050922,0.252657,2.470578,0.035888,-0.053455,-0.058425,0.049284,-0.249977,-0.966997,-0.001326,-0.014976,0.028856,-58.420670,-37.607166,-53.109039,,,,,,,
1537473170.307005,0.050686,0.252727,2.470034,-0.001511,-0.032090,-0.048019,0.049055,-0.250045,-0.966991,-0.000623,-0.012528,0.030773,-58.420670,-37.607166,-53.109039,,,,,,,
1537473170.317014,0.050540,0.252364,2.469655,-0.045304,-0.020316,-0.034401,0.048919,-0.249694,-0.967088,-0.001662,-0.011247,0.031877,-58.298737,-37.563808,-53.203094,,,,,,,
1537473170.327055,0.050359,0.251636,2.469380,-0.076231,-0.028860,-0.028117,0.048752,-0.248988,-0.967279,0.004150,-0.011388,0.041696,-58.298737,-37.563808,-53.203094,,,,,,,
1537473170.337095,0.049794,0.250767,2.469273,-0.090068,-0.068292,-0.006658,0.048217,-0.248147,-0.967522,0.003022,-0.009192,0.045265,-58.351677,-37.729031,-53.257355,,,,,,,
