timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537042389.869747,-0.493410,0.063656,1.940916,-0.024777,-0.012548,-0.224456,-0.472672,-0.063613,-0.878939,-0.001952,0.019775,0.030367,-29.085583,-15.067226,-32.630341,,,,,,,
1537042389.879726,-0.493556,0.064089,1.939199,-0.040481,-0.032583,-0.147664,-0.472788,-0.064045,-0.878846,-0.007666,0.051701,0.065537,-29.085583,-15.067226,-32.630341,,,,,,,
1537042389.889706,-0.493447,0.064594,1.939022,0.067450,0.041849,-0.028661,-0.472676,-0.064549,-0.878869,-0.026927,0.069554,0.072228,-28.899864,-15.018288,-32.482361,,,,,,,
,,,,,,,,,,,,,,,,42.293077,-71.262774,50.469604,0.000000,-1.000000,1537042388.997336,
1537042389.899685,-0.493391,0.066423,1.940257,0.276854,-0.026374,0.035537,-0.472571,-0.066374,-0.878789,-0.028207,0.048079,0.088537,-28.899864,-15.018288,-32.482361,,,,,,,
1537042389.909664,-0.494688,0.069844,1.942649,0.450573,-0.139421,0.022728,-0.473599,-0.069788,-0.877971,0.007062,0.063211,0.082469,-29.152985,-15.091244,-32.325256,,,,,,,
1537042389.919643,-0.496222,0.074669,1.944982,0.567495,-0.128433,-0.041756,-0.474780,-0.074599,-0.876937,0.047916,0.081633,0.072433,-29.152985,-15.091244,-32.325256,,,,,,,
1537042389.929623,-0.497670,0.080510,1.947642,0.655229,-0.116132,-0.064771,-0.475833,-0.080423,-0.875851,0.053439,0.061350,0.030194,-29.287815,-15.504051,-31.894775,,,,,,,
1537042389.939602,-0.498957,0.087032,1.950053,0.699432,-0.085490,-0.105123,-0.476699,-0.086922,-0.874758,0.047561,0.028969,-0.012937,-29.287815,-15.504051,-31.894775,,,,,,,
1537042389.949581,-0.499370,0.093507,1.952496,0.671980,0.001124,-0.110699,-0.476781,-0.093371,-0.874049,0.010274,-0.032392,-0.012105,-29.191250,-15.790318,-31.770599,,,,,,,
1537042389.959560,-0.498689,0.099499,1.954296,0.596899,0.125293,-0.145397,-0.475909,-0.099335,-0.873867,-0.001142,-0.078781,-0.051365,-29.191250,-15.790318,-31.770599,,,,,,,
1537042389.969509,-0.496640,0.104809,1.955039,0.470012,0.245346,-0.233745,-0.473860,-0.104617,-0.874364,0.040159,-0.094540,-0.072505,-29.075756,-16.349682,-31.550812,,,,,,,
1537042389.979488,-0.493502,0.109488,1.953865,0.328480,0.325875,-0.365899,-0.470877,-0.109270,-0.875406,0.072424,-0.094725,-0.064795,-29.075756,-16.349682,-31.550812,,,,,,,
1537042389.989468,-0.489578,0.113892,1.950956,0.229755,0.374098,-0.521270,-0.467207,-0.113646,-0.876813,0.088286,-0.092500,-0.046481,-28.660236,-16.670925,-31.727173,,,,,,,
1537042389.999447,-0.484821,0.118633,1.946140,0.199493,0.433668,-0.693355,-0.462774,-0.118355,-0.878540,0.088735,-0.085335,-0.015717,-28.660236,-16.670925,-31.727173,,,,,,,
1537042390.009426,-0.479484,0.124394,1.940077,0.245925,0.468295,-0.858590,-0.457756,-0.124073,-0.880378,0.076195,-0.068493,0.014670,-27.975397,-17.409477,-31.817169,,,,,,,
1537042390.019405,-0.473434,0.131574,1.932876,0.341282,0.527273,-1.000098,-0.452004,-0.131194,-0.882315,0.062630,-0.047379,0.046576,-27.975397,-17.409477,-31.817169,,,,,,,
1537042390.029385,-0.466872,0.140354,1.925250,0.477732,0.556244,-1.094382,-0.445669,-0.139893,-0.884199,0.058707,-0.010863,0.075987,-27.975397,-17.409477,-31.817169,,,,,,,
1537042390.039364,-0.460420,0.150751,1.917852,0.637112,0.530737,-1.145787,-0.439285,-0.150180,-0.885705,0.058197,0.041385,0.085886,-27.268669,-18.227825,-31.816315,,,,,,,
,,,,,,,,,,,,,,,,42.293077,-71.262774,50.571045,0.000000,-1.000000,1537042389.997298,
1537042390.049343,-0.453823,0.162579,1.910597,0.779322,0.552352,-1.172782,-0.432624,-0.161864,-0.886925,0.069419,0.096983,0.090157,-27.268669,-18.227825,-31.816315,,,,,,,
1537042390.059322,-0.446052,0.173962,1.904494,0.715042,0.741038,-0.973711,-0.424896,-0.173086,-0.888541,0.045440,0.142980,0.070822,-26.422247,-19.160095,-31.762909,,,,,,,
1537042390.069302,-0.440151,0.182397,1.901123,0.591937,0.454337,-0.552453,-0.419008,-0.181387,-0.889680,-0.187972,0.111319,-0.056883,-26.422247,-19.160095,-31.762909,,,,,,,
1537042390.079250,-0.436538,0.187574,1.900751,0.399294,0.307751,-0.184025,-0.415388,-0.186476,-0.890325,-0.172472,0.152037,-0.098017,-25.733040,-19.962986,-31.834381,,,,,,,
1537042390.089229,-0.436605,0.189387,1.902918,0.205592,-0.056527,0.233723,-0.415304,-0.188257,-0.889989,-0.234400,0.228037,-0.072352,-25.733040,-19.962986,-31.834381,,,,,,,
1537042390.099209,-0.439571,0.188002,1.908840,0.099737,-0.207679,0.675220,-0.418053,-0.186897,-0.888989,-0.252510,0.213371,-0.090335,-25.577724,-20.089111,-31.863892,,,,,,,
1537042390.109188,-0.443143,0.185466,1.917651,0.168724,-0.186080,0.952047,-0.421428,-0.184405,-0.887915,-0.190038,0.194262,-0.006296,-25.577724,-20.089111,-31.863892,,,,,,,
1537042390.119167,-0.447454,0.183370,1.928330,0.279786,-0.266556,1.034928,-0.425418,-0.182344,-0.886437,-0.130018,0.138383,0.047356,-25.994068,-19.647663,-31.624664,,,,,,,
1537042390.129146,-0.452709,0.181818,1.938446,0.287986,-0.366132,0.926194,-0.430193,-0.180818,-0.884443,-0.051176,0.067323,0.012296,-25.994068,-19.647663,-31.624664,,,,,,,
1537042390.139126,-0.458600,0.180415,1.946377,0.178973,-0.479275,0.680199,-0.435508,-0.179438,-0.882120,0.021491,-0.003347,-0.009055,-26.617569,-19.520206,-31.496857,,,,,,,
1537042390.149105,-0.462431,0.177792,1.950926,-0.161826,-0.067883,0.503918,-0.439092,-0.176857,-0.880863,0.057226,-0.091743,-0.029461,-26.617569,-19.520206,-31.496857,,,,,,,
1537042390.159084,-0.453064,0.167679,1.952364,-1.068619,1.148702,0.506252,-0.431583,-0.166894,-0.886500,0.007526,-0.388389,0.256892,-26.920742,-19.272171,-31.407898,,,,,,,
1537042390.169063,-0.445246,0.152808,1.950117,-1.514581,0.548734,0.442500,-0.425661,-0.152214,-0.891988,-0.209257,-0.601463,0.324728,-26.920742,-19.272171,-31.407898,,,,,,,
1537042390.179012,-0.441540,0.138545,1.946831,-1.376855,0.290254,0.239636,-0.423238,-0.138102,-0.895431,-0.116664,-0.432241,-0.148956,-27.053509,-18.216618,-32.172607,,,,,,,
1537042390.188991,-0.439492,0.129802,1.941973,-0.849819,0.065575,-0.170349,-0.421901,-0.129438,-0.897355,0.037333,-0.058093,-0.160644,-27.053509,-18.216618,-32.172607,,,,,,,
